state,city,reps,line,Entry No.,entry yield (kg/ha),volume weight (kg/hl),plant heigh (cm)
NEW MEXICO,CLOVIS (IRR.),3,T21-3,43,6128,74.7,80
NEW MEXICO,CLOVIS (IRR.),3,XH900,35,5851,76.3,82
NEW MEXICO,CLOVIS (IRR.),3,PI495594,3,5782,77.1,64
NEW MEXICO,CLOVIS (IRR.),3,KSSB-369-7,24,5611,81.9,74
NEW MEXICO,CLOVIS (IRR.),3,XH1514,38,5487,78.7,72
NEW MEXICO,CLOVIS (IRR.),3,XH1231,36,5377,77.2,74
NEW MEXICO,CLOVIS (IRR.),3,TX88V5440,11,5353,76.2,74
NEW MEXICO,CLOVIS (IRR.),3,CO850061,21,5336,75.5,69
NEW MEXICO,CLOVIS (IRR.),3,T19-3,41,5319,79.6,73
NEW MEXICO,CLOVIS (IRR.),3,KSSB-192-3,25,5262,79,69
NEW MEXICO,CLOVIS (IRR.),3,NE87409,31,5244,77.5,69
NEW MEXICO,CLOVIS (IRR.),3,OK88W833,8,5198,80,74
NEW MEXICO,CLOVIS (IRR.),3,TX88V4635,12,4927,76.2,67
NEW MEXICO,CLOVIS (IRR.),3,NE87615,30,4816,75.1,59
NEW MEXICO,CLOVIS (IRR.),3,TX87V1613,13,4767,79.6,69
NEW MEXICO,CLOVIS (IRR.),3,WI88-024,40,4757,79.6,76
NEW MEXICO,CLOVIS (IRR.),3,OK87W663,4,4755,80.2,69
NEW MEXICO,CLOVIS (IRR.),3,CO850034,20,4736,79.4,65
NEW MEXICO,CLOVIS (IRR.),3,TX89V4138,15,4696,79.9,70
NEW MEXICO,CLOVIS (IRR.),3,TX86D1310,17,4646,74.6,68
NEW MEXICO,CLOVIS (IRR.),3,WI88-083,39,4615,77.1,67
NEW MEXICO,CLOVIS (IRR.),3,TX88V4524,14,4577,79.9,65
NEW MEXICO,CLOVIS (IRR.),3,TH901,44,4568,77.4,69
NEW MEXICO,CLOVIS (IRR.),3,HBC197F,26,4560,73.7,62
NEW MEXICO,CLOVIS (IRR.),3,KS88H12-2,29,4423,76.9,67
NEW MEXICO,CLOVIS (IRR.),3,NE88595,33,4378,74.3,64
NEW MEXICO,CLOVIS (IRR.),3,XH1322,37,4371,76,69
NEW MEXICO,CLOVIS (IRR.),3,OK88767,7,4359,77.4,67
NEW MEXICO,CLOVIS (IRR.),3,CO860086,22,4315,77.6,54
NEW MEXICO,CLOVIS (IRR.),3,KS87H6,27,4305,77.6,65
NEW MEXICO,CLOVIS (IRR.),3,CO860094,23,4287,75.9,59
NEW MEXICO,CLOVIS (IRR.),3,TX88V4636,9,4246,76.9,64
NEW MEXICO,CLOVIS (IRR.),3,NE87451,32,4206,70.8,60
NEW MEXICO,CLOVIS (IRR.),3,TX84V1418HF,10,4185,76.7,73
NEW MEXICO,CLOVIS (IRR.),3,TX88V5433,16,4134,78.7,65
NEW MEXICO,CLOVIS (IRR.),3,T67,42,4099,77.9,70
NEW MEXICO,CLOVIS (IRR.),3,NE88427,34,3974,77.1,59
NEW MEXICO,CLOVIS (IRR.),3,TX86D1332,18,3830,78.3,58
NEW MEXICO,CLOVIS (IRR.),3,OK87630,6,3803,73.2,69
NEW MEXICO,CLOVIS (IRR.),3,CI1442,1,3754,75,77
NEW MEXICO,CLOVIS (IRR.),3,CI13996,2,3593,79.4,75
NEW MEXICO,CLOVIS (IRR.),3,KS88H12-1,28,3483,77.7,59
NEW MEXICO,CLOVIS (IRR.),3,TX88D3424,19,3347,71.9,62
NEW MEXICO,CLOVIS (IRR.),3,OK87542,5,3306,76.9,75
NEW MEXICO,CLOVIS (IRR.),3,TH902,45,3091,72.8,69